Chi,Na,Nb,Nn,Pa,Pb,Pn
0.5,37.10283616277238,-5.363919512015459,1.4217268088440171,41.22537351419141,-5.452334833298318,1.435786283052296
0.85,20.4311434202233,-4.49294003317342,1.1349131271975281,22.701270466259764,-4.6490021063421105,1.152765566758762
1.0,17.90354420377782,-4.333846833567839,1.0640882000446918,19.892826893086443,-4.516131651975431,1.0832980624173947
1.25,15.317920722705427,-4.174411948495861,0.9770286613081098,17.019911914117138,-4.3942196323151155,0.9980744016957857
1.75,12.556412280016055,-4.032096525036562,0.8643532553426403,13.951569200017792,-4.304306640474222,0.8877071145900339
2.0,11.69108714187401,-3.9992954578329547,0.8248917017444357,12.990096824304416,-4.28859885188092,0.8489032208404141
2.5,10.435675416133911,-3.964086374222372,0.7646643355645986,11.595194906802998,-4.275360412880026,0.7893845708235145
3.0,9.547750180972242,-3.946916651117597,0.7202062578234744,10.608611312191137,-4.269681214239904,0.7451538599202203
3.5,8.876172892547908,-3.9364178981130236,0.6855992518471905,9.862414325053173,-4.264682609529499,0.7105236654763043
4.0,8.346197866562509,-3.92827385530971,0.6576412121641474,9.273553185069424,-4.258591756575658,0.682411610843074
5.0,7.557095410144994,-3.9132330627610146,0.614722021611454,8.396772677936806,-4.242561304722285,0.6390316728978738
5.5,7.3376053256257885,-3.926338516668756,0.5991213069114133,8.059958426807963,-4.233075888903088,0.6217827734725946
6.0,7.152814858493519,-3.938319463528745,0.5855464264507939,7.77082640591496,-4.222953764988635,0.6066650863378621
7.0,6.835779805575437,-3.9526057425666314,0.5625576743820404,7.299180394555404,-4.2015860046092435,0.5812858471220428
8.0,6.576553721950933,-3.958644615047091,0.5437464899359994,6.929858075234762,-4.179616683698189,0.5606739491299293
9.0,6.36265286950872,-3.9598423371476192,0.5280017138883285,6.632127884347742,-4.157704769965533,0.5434890725200314
10.0,6.184394514408484,-3.9581630348207844,0.5145846790935711,6.386590901428008,-4.13619924352033,0.5288666053298428
13.5,5.749989311861869,-3.9428882420398734,0.4797317285582816,5.7839154187809445,-4.066006389443147,0.4908038700764622
15.0,5.624057758149087,-3.9349965097379966,0.4686352650516151,5.602756626976888,-4.038507100372473,0.4786043171357624
17.5,5.464524018681531,-3.9220131721327034,0.4534117166234268,5.362812395232368,-3.9958398301934466,0.4617519485693552
20.0,5.349031330384719,-3.9096610960830502,0.4411416949792737,5.176960004626881,-3.9566601577958345,0.44805168100805115
25.0,5.1990727689703995,-3.8867647926838713,0.4223677288210109,4.9067021208625725,-3.8867909843470354,0.4268674748825592
27.5,5.151161226582902,-3.8764751347558315,0.414973229807023,4.805010271453429,-3.8553034523659706,0.4184236241533765
30.0,5.117001618586537,-3.8674732427610143,0.4085576741035448,4.71864561999327,-3.825699252997851,0.41100975001649764
35.0,5.037481404772859,-3.839361439564522,0.39732325208381986,4.579528549793688,-3.771215578373938,0.3985270597893671
40.0,4.919190239148184,-3.7932218894784633,0.38731312192433376,4.471991126503563,-3.721866240320028,0.38834516322691276
45.0,4.82465137162205,-3.752459101375349,0.3790166816724303,4.386046701805135,-3.6766163586215765,0.3798166884071065
50.0,4.747079306579997,-3.715704523767587,0.3719863410464628,4.31552664234548,-3.634715740312066,0.3725247918319853
60.0,4.626543280670601,-3.6490437682851002,0.36052853446447797,4.205948436973698,-3.5588532462980034,0.36060441319975317
78.8,4.472771480462554,-3.5292778968710663,0.34438390377417444,4.066155891329606,-3.4367867391031366,0.3442666265430918
97.6,4.36852075391257,-3.4057424095435733,0.3319705161468298,3.9713825035657733,-3.332878459283551,0.33253052969601626
116.4,4.289961944961645,-3.280295371742728,0.3217879932183469,3.8999654045105885,-3.24145454166045,0.32349348650242615
135.2,4.226368039501217,-3.1572859969922895,0.3132099387332489,3.842152763182945,-3.1593204933429897,0.31620758671135585
154.0,4.172250894571885,-3.039697723286684,0.3058863017672738,3.792955358701837,-3.0844908890659646,0.31013946284809657
172.8,4.124536691246876,-2.92877806314932,0.2995559536704041,3.749578810226147,-3.0156343364543847,0.304962204864922
191.6,3.8937518556673556,-2.7694663067097194,0.2914787592474108,3.7103491937107087,-2.9518053253763323,0.3004623386381874
210.4,3.6780991569137793,-2.6236414923974913,0.2841609385585927,3.6742074517217533,-2.892299417518257,0.2964933928149363
229.20000000000002,3.664263781941263,-2.55291571794913,0.2804339843705447,3.6404547769434794,-2.836573019943461,0.29295087934215186
248.0,3.708620227615168,-2.505773859383071,0.27798098715224284,3.6086117872469963,-2.7841931770922916,0.28975780633951076
266.8,3.7506273606615363,-2.461326658081348,0.275805180164575,3.578340199284267,-2.734807397868158,0.28685593797160397
285.6,3.788118065358871,-2.4193103950464048,0.27383829898624873,3.5493938671308563,-2.688122661162665,0.28420021494779535
304.4,3.8263292921953016,-2.3795022146148215,0.27209354007886977,3.5215896515664937,-2.6438913495720153,0.28175509900226536
323.2,3.8442662370813787,-2.3417118660615843,0.2703694184230945,3.4947874893833264,-2.601901195229506,0.27949208645153534
342.0,3.8157667575033667,-2.3057717118797694,0.26844052955424413,3.4688788704668574,-2.561968568679071,0.27738799808056674
360.8,3.788155525205398,-2.271542262492507,0.26665277858487735,3.443777750235493,-2.523932863815991,0.2754237375199893
379.6,3.7613558467213197,-2.239017740856749,0.26499125194108697,3.4194144061554734,-2.4876522720440355,0.27358338869043564
